epoch,train_loss,val_loss,train_acc,val_acc
1,0.5803651826612412,0.13905570709920792,0.8,0.963855421686747
2,0.3528244082389339,0.0989415492997112,0.864516129032258,0.9819277108433735
3,0.11139632696105588,0.1007486865463027,0.967741935483871,0.963855421686747
4,0.1268730380464225,0.05518585802560829,0.9535483870967741,0.9759036144578314
5,0.1233153450113511,0.10214723722941904,0.9612903225806452,0.963855421686747
6,0.13446515385181673,0.1157529646732721,0.9548387096774194,0.963855421686747
7,0.13772252467370802,0.0701454939343125,0.96,0.9698795180722891
8,0.07350740889477873,0.016777569697384375,0.9754838709677419,1.0
9,0.10587919297718233,0.12359315854867539,0.9638709677419355,0.963855421686747
10,0.09449782391709666,0.03831131536378918,0.9690322580645161,0.9819277108433735
