epoch,train_loss,val_loss,train_acc,val_acc
1,0.7042145616585208,0.1531883323767099,0.7483870967741936,0.9578313253012049
2,0.2570809069083583,0.20033746060118618,0.9174193548387096,0.9096385542168675
3,0.28971397811366667,0.09602977281593415,0.9058064516129032,0.9578313253012049
4,0.18045601427134486,0.04190552885453385,0.9354838709677419,0.9879518072289156
5,0.25474358833605243,0.044063924508820095,0.9187096774193548,0.9879518072289156
6,0.18478922387284616,0.09466980541326914,0.9432258064516129,0.963855421686747
7,0.2036035608283935,0.05297816926837865,0.9341935483870968,0.9879518072289156
8,0.19191481338753816,0.17678899326956415,0.9329032258064516,0.9216867469879518
9,0.16773022281787087,0.039460196462740384,0.9419354838709677,0.9819277108433735
10,0.1435471669824854,0.05145125683531704,0.9587096774193549,0.9819277108433735
