epoch,train_loss,val_loss,train_acc,val_acc
1,0.661884483339325,0.09102195079427168,0.7458064516129033,0.9819277108433735
2,0.22767525984154593,0.025064509047801237,0.927741935483871,1.0
3,0.17045996947634603,0.031630884025649855,0.952258064516129,0.9879518072289156
4,0.10975610218461483,0.01496933332184352,0.9638709677419355,0.9939759036144579
5,0.09522458502482022,0.02045691095808723,0.9664516129032258,0.9939759036144579
6,0.11426934400873799,0.02272025005981685,0.9625806451612903,0.9939759036144579
7,0.08885598420976631,0.05206903492111758,0.9729032258064516,0.9759036144578314
8,0.10880380393997316,0.039268298823588406,0.9664516129032258,0.9879518072289156
9,0.0954159886957777,0.033498244963204825,0.9716129032258064,0.9939759036144579
10,0.11216947601882801,0.026306756606594806,0.9612903225806452,0.9819277108433735
